표준코드	단축코드	한글종목명	한글종목약명	영문종목명	상장일	기초지수명	지수산출기관	추적배수	복제방법	기초시장분류	기초자산분류	상장좌수	운용사	CU수량	총보수	과세유형
KR7368680005	368680	삼성 KODEX Fn K-뉴딜디지털플러스증권상장지수투자신탁[주식]	KODEX Fn K-뉴딜디지털플러스	SAMSUNG KODEX Fn K-NewDeal Digital Plus ETF	2020-11-10	FnGuide K-뉴딜 디지털 플러스 지수	FnGuide	일반 (1)	실물	국내	주식	2000000	삼성자산운용	100000	0.09	비과세
KR7296710007	296710	삼성 KODEX FnKorea50증권상장지수투자신탁[주식형]	KODEX FnKorea50	Samsung KODEX FnKorea50 ETF	2018-06-08	FnKorea 50 지수	FnGuide	일반 (1)	실물	국내	주식	400000	삼성자산운용	100000	0.45	비과세
KR7337120000	337120	삼성 KODEX Fn멀티팩터증권상장지수투자신탁[주식]	KODEX Fn멀티팩터	SAMSUNG KODEX Fn Multi Factor ETF	2019-11-14	FnGuide 멀티팩터 지수	FnGuide	일반 (1)	실물	국내	주식	1300000	삼성자산운용	100000	0.3	비과세
KR7325010007	325010	삼성 KODEX Fn성장증권상장지수투자신탁[주식형]	KODEX Fn성장	SAMSUNG KODEX Fn Growth ETF	2019-05-31	FnGuide 성장 지수(PR)	FnGuide	일반 (1)	실물	국내	주식	5500000	삼성자산운용	100000	0.3	비과세
KR7266370006	266370	삼성 KODEX IT증권상장지수투자신탁(주식)	KODEX IT	Samsung KODEX IT ETF	2017-03-28	KRX 정보기술	KRX	일반 (1)	실물	국내	주식	2500000	삼성자산운용	100000	0.45	비과세
KR7101280006	101280	삼성 KODEX Japan 증권상장지수투자신탁[주식]	KODEX 일본TOPIX100	SAMSUNG KODEX Japan ETF	2008-02-20	TOPIX100	TSE(Tokyo Stock Exchange)	일반 (1)	실물	해외	주식	600000	삼성자산운용	200000	0.37	배당소득세(해외주식투자전용ETF)
KR7373490002	373490	삼성 KODEX K-이노베이션액티브증권상장지수투자신탁[주식]	KODEX K-이노베이션액티브	SAMSUNG KODEX K-Innovation Active ETF	2020-12-24	FnGuide K-이노베이션 지수	FnGuide	일반 (1)	Active	국내	주식	950000	삼성자산운용	50000	0.5	배당소득세(보유기간과세)
KR7306950007	306950	삼성 KODEX KRX300레버리지증권상장지수투자신탁[주식-파생형]	KODEX KRX300레버리지	Samsung KODEX KRX300 Leverage ETF	2018-10-16	KRX 300	KRX	2X 레버리지 (2)	실물	국내	주식	1000000	삼성자산운용	100000	0.64	배당소득세(보유기간과세)
KR7292190006	292190	삼성 KODEX KRX300증권상장지수투자신탁[주식형]	KODEX KRX300	Samsung KODEX KRX300 ETF	2018-03-26	KRX 300	KRX	일반 (1)	실물	국내	주식	3400000	삼성자산운용	100000	0.05	비과세
KR7229720008	229720	삼성 KODEX KTOP30 증권상장지수투자신탁[주식]	KODEX KTOP30	SAMSUNG KODEX KTOP30 ETF	2015-10-14	KTOP 30	KRX	일반 (1)	실물	국내	주식	600000	삼성자산운용	100000	0.25	비과세
KR7289040008	289040	삼성 KODEX MSCI ESG유니버설증권상장지수투자신탁[주식형]	KODEX MSCI KOREA ESG유니버설	Samsung KODEX MSCI Korea ESG Universal ETF	2018-02-07	MSCI Korea ESG Universal Capped Index	MSCI	일반 (1)	실물	국내	주식	2600000	삼성자산운용	100000	0.3	비과세
KR7156080004	156080	삼성 KODEX MSCI KOREA 증권상장지수투자신탁[주식]	KODEX MSCI Korea	SAMSUNG KODEX MSCI KOREA ETF[EQUITY]	2012-04-30	MSCI Korea Index	MSCI	일반 (1)	실물	국내	주식	5000000	삼성자산운용	100000	0.15	비과세
KR7278540000	278540	삼성 KODEX MSCI Korea Total Return증권상장지수투자신탁[주식]	KODEX MSCI Korea TR	Samsung KODEX MSCI Korea Total Return ETF	2017-11-09	MSCI Korea TR Index	MSCI	일반 (1)	실물	국내	주식	106400000	삼성자산운용	100000	0.15	배당소득세(보유기간과세)
KR7251350005	251350	삼성 KODEX MSCI World 증권상장지수투자신탁[주식]	KODEX 선진국MSCI World	Samsung KODEX MSCI World ETF	2016-08-17	MSCI World	MSCI	일반 (1)	실물	해외	주식	15600000	삼성자산운용	100000	0.3	배당소득세(해외주식투자전용ETF)
KR7275280006	275280	삼성 KODEX MSCI모멘텀증권상장지수투자신탁[주식형]	KODEX MSCI모멘텀	SAMSUNG KODEX MSCI Momentum ETF	2017-07-11	MSCI Korea IMI Momentum Capped	MSCI	일반 (1)	실물	국내	주식	600000	삼성자산운용	100000	0.3	비과세
KR7275290005	275290	삼성 KODEX MSCI밸류증권상장지수투자신탁[주식형]	KODEX MSCI밸류	SAMSUNG KODEX MSCI Enhanced Value ETF	2017-07-11	MSCI Korea IMI Enhanced Value Capped	MSCI	일반 (1)	실물	국내	주식	1100000	삼성자산운용	100000	0.3	비과세
